stock_index,country,year,log_indexprice,inflation_rate,oil_prices,exchange_rate,percapita_income,unemployment_rate,manufacturing_output,trade,GDP,GDP_growth
NASDAQ,United States of America,1980,2.23,0.14,21.59,1.0,12575.0,0.07,328.0848201438849,20.1098446894226,7080769709000.0,-0.256749673873159
NASDAQ,United States of America,1981,2.31,0.1,31.77,1.0,13976.0,0.08,328.0848201438849,19.4259131704272,7260459769000.0,2.53771930714828
NASDAQ,United States of America,1982,2.28,0.06,28.52,1.0,14434.0,0.1,328.0848201438849,17.5368122809184,7129561854000.0,-1.80288740885109
NASDAQ,United States of America,1983,2.46,0.03,26.19,1.0,15544.0,0.1,328.0848201438849,16.6655934803103,7456374792000.0,4.58391335530169
NASDAQ,United States of America,1984,2.4,0.04,25.88,1.0,17121.0,0.08,328.0848201438849,17.5224074224053,7995965282000.0,7.23663315018621
NASDAQ,United States of America,1985,2.46,0.04,24.09,1.0,18237.0,0.07,328.0848201438849,16.603906126303,8329369546000.0,4.16965622337729
NASDAQ,United States of America,1986,2.56,0.02,12.51,1.0,19071.0,0.07,328.0848201438849,16.8979771514343,8617786125000.0,3.4626459710688
NASDAQ,United States of America,1987,2.6,0.04,15.4,1.0,20039.0,0.06,328.0848201438849,17.9735809845702,8915897063000.0,3.45925198973302
NASDAQ,United States of America,1988,2.57,0.04,12.58,1.0,21417.0,0.05,328.0848201438849,19.0701007058615,9288319548000.0,4.177061291404
NASDAQ,United States of America,1989,2.64,0.05,15.86,1.0,22857.0,0.05,328.0848201438849,19.4151283860195,9629446844000.0,3.67264814950788
NASDAQ,United States of America,1990,2.61,0.05,27.28,1.0,23889.0,0.06,182.19,19.8150505840543,9811054837000.0,1.88596495668033
NASDAQ,United States of America,1991,2.69,0.04,19.5,1.0,24342.0,0.07,185.83,19.7864481240974,9800432919000.0,-0.108264790855543
NASDAQ,United States of America,1992,2.78,0.03,19.41,1.0,25419.0,0.07,189.27,19.9505945023923,10145647340000.0,3.52244052740502
NASDAQ,United States of America,1993,2.85,0.03,14.52,1.0,26387.0,0.07,166.43,20.0446187019752,10424833341000.0,2.75178105096643
NASDAQ,United States of America,1994,2.88,0.03,17.16,1.0,27695.0,0.06,187.05,21.0554591617453,10844828324000.0,4.02879325991903
NASDAQ,United States of America,1995,2.97,0.03,19.03,1.0,28691.0,0.06,208.44,22.4533816490568,11135927079000.0,2.68421727207786
NASDAQ,United States of America,1996,3.07,0.03,25.23,1.0,29968.0,0.05,216.82,22.6870719902412,11556037222000.0,3.77256549921414
NASDAQ,United States of America,1997,3.17,0.02,18.33,1.0,31459.0,0.05,235.67,23.4283210916839,12069954414000.0,4.44717494524525
NASDAQ,United States of America,1998,3.25,0.02,11.35,1.0,32854.0,0.05,240.04,22.8258909523693,12610856679000.0,4.48139443155316
NASDAQ,United States of America,1999,3.44,0.02,26.1,1.0,34514.0,0.04,234.62,23.3135637046602,13215484082000.0,4.79449904467508
NASDAQ,United States of America,2000,3.58,0.03,28.44,1.0,36335.0,0.04,223.42,25.1029953595813,13754300444000.0,4.07715947941618
NASDAQ,United States of America,2001,3.31,0.03,19.39,1.0,37133.0,0.05,205.7,22.967181335596,13885563060000.0,0.954338728708379
NASDAQ,United States of America,2002,3.19,0.02,29.46,1.0,38023.0,0.06,217.95,22.2863741094897,14121054284000.0,1.69594292274957
NASDAQ,United States of America,2003,3.22,0.02,32.13,1.0,39496.0,0.06,240.22,22.6273130062789,14515908489000.0,2.7962091006717
NASDAQ,United States of America,2004,3.3,0.03,43.15,1.0,41713.0,0.06,267.2,24.4480622643257,15075141499000.0,3.85255260064351
NASDAQ,United States of America,2005,3.32,0.03,59.41,1.0,44115.0,0.05,268.36,25.6385530316517,15600241891000.0,3.48322032025258
NASDAQ,United States of America,2006,3.35,0.03,61.96,1.0,46299.0,0.05,277.32,26.9752780973197,16034367080000.0,2.78281062584327
NASDAQ,United States of America,2007,3.41,0.03,91.69,1.0,47976.0,0.05,299.29,28.0120176822667,16356739241000.0,2.01050755163328
NASDAQ,United States of America,2008,3.33,0.04,41.12,1.0,48383.0,0.06,278.83,29.8677957945319,16376725286000.0,0.122188442974647
NASDAQ,United States of America,2009,3.27,0.04174846625766871,74.47,1.0,47100.0,0.09,221.24,24.7595311689876,15950948713000.0,-2.59988835108558
NASDAQ,United States of America,2010,3.37,0.02,89.15,1.0,48467.0,0.1,236.41,28.2198952346731,16383037055000.0,2.70885669419681
NASDAQ,United States of America,2011,3.43,0.03,98.56,1.0,49883.0,0.09,249.95,30.8424862411943,16636956919000.0,1.54989495017045
NASDAQ,United States of America,2012,3.47,0.02,87.86,1.0,51603.0,0.08,252.36,30.6818353657295,17016393933000.0,2.28068760319185
NASDAQ,United States of America,2013,3.55,0.01,97.63,1.0,53107.0,0.07,265.61,30.0023671411205,17329814706000.0,1.84187539518688
NASDAQ,United States of America,2014,3.64,0.02,59.29,1.0,55050.0,0.06,287.86,29.9979997800853,17726282036000.0,2.28777593255359
NASDAQ,United States of America,2015,3.69,0.04174846625766871,37.19,1.0,56863.0,0.05,274.3,27.8122335024973,18206020741000.0,2.70636958176399
NASDAQ,United States of America,2016,3.7,0.01,51.97,1.0,58021.0,0.05,245.73,26.5869993604609,18509601053000.0,1.66747207596187
NASDAQ,United States of America,2017,3.79,0.02,57.88,1.0,60110.0,0.04,242.59,27.2791610220074,18924571726000.0,2.24192121597748
NASDAQ,United States of America,2018,3.87,0.02,49.52,1.0,63064.0,0.04,256.36,27.6103792720958,19481973191000.0,2.9453848312678
NASDAQ,United States of America,2019,3.9,0.02,59.88,1.0,65280.0,0.04,245.75,26.4519494737854,19928975197000.0,2.29443907769311
NASDAQ,United States of America,2020,4.01,0.01,47.02,1.0,63544.0,0.08,227.14,23.3837618777961,19377380521000.0,-2.76780251140578
FTSE 100,United Kingdom,1980,3.33,0.18,21.59,2.32,10032.0,0.05,328.0848201438849,51.3360049692098,1356940956112.01,-2.03136774954447
FTSE 100,United Kingdom,1981,3.33,0.12,31.77,2.02,9599.0,0.04,328.0848201438849,49.4164598546928,1346251737065.8,-0.787743858570721
FTSE 100,United Kingdom,1982,3.33,0.09,28.52,1.75,9145.0,0.04,328.0848201438849,49.6382268141947,1373107994676.35,1.99489121321983
FTSE 100,United Kingdom,1983,3.33,0.05,26.19,1.52,8691.0,0.04,328.0848201438849,50.8376853322436,1431078641822.13,4.22185635583932
FTSE 100,United Kingdom,1984,3.33,0.05,25.88,1.34,8179.0,0.04,328.0848201438849,55.4338459010912,1463551322001.21,2.26910522106105
FTSE 100,United Kingdom,1985,3.33,0.06,24.09,1.3,8652.0,0.05,328.0848201438849,54.9772978956121,1524250868906.43,4.14741498933056
FTSE 100,United Kingdom,1986,3.33,0.03,12.51,1.47,10611.0,0.04,328.0848201438849,50.550617702182,1572269961561.86,3.15034051382104
FTSE 100,United Kingdom,1987,3.33,0.04,15.4,1.64,13118.0,0.05,328.0848201438849,49.9170699505445,1657058366319.62,5.39273832297438
FTSE 100,United Kingdom,1988,3.33,0.04,12.58,1.78,15988.0,0.05,328.0848201438849,47.3791932706759,1752047807086.21,5.73241369750728
FTSE 100,United Kingdom,1989,3.33,0.06,15.86,1.64,16240.0,0.05,328.0848201438849,48.6961418292993,1797208638459.24,2.57760268814434
FTSE 100,United Kingdom,1990,3.33,0.08,27.28,1.78,19096.0,0.07,182.19,48.2704153016293,1810395755745.72,0.733755503077219
FTSE 100,United Kingdom,1991,3.4,0.07,19.5,1.77,19900.0,0.09,185.83,45.3362535997259,1790424889823.09,-1.10312156108647
FTSE 100,United Kingdom,1992,3.45,0.05,19.41,1.77,20488.0,0.1,189.27,46.3266859574215,1797605961499.99,0.401081984378223
FTSE 100,United Kingdom,1993,3.53,0.03,14.52,1.5,18390.0,0.1,166.43,49.7708527497619,1842363311360.28,2.4898309651207
FTSE 100,United Kingdom,1994,3.49,0.02,17.16,1.53,19708.0,0.1,187.05,51.9100648688399,1913220774275.94,3.84600922514838
FTSE 100,United Kingdom,1995,3.57,0.03,19.03,1.58,23125.0,0.09,208.44,50.963746531673,1961657209971.38,2.53166996442249
FTSE 100,United Kingdom,1996,3.61,0.03,25.23,1.56,24335.0,0.08,216.82,52.2105704421799,1999081845521.52,1.90780710105234
FTSE 100,United Kingdom,1997,3.71,0.02,18.33,1.64,26718.0,0.07,235.67,50.9544505383919,2086373375047.13,4.36658107426521
FTSE 100,United Kingdom,1998,3.77,0.02,11.35,1.66,28238.0,0.06,240.04,49.3102350984564,2152246177454.06,3.15728733863099
FTSE 100,United Kingdom,1999,3.84,0.02,26.1,1.62,28668.0,0.06,234.62,49.5807115835847,2217116394065.01,3.0140704762541
FTSE 100,United Kingdom,2000,3.79,0.01,28.44,1.52,28155.0,0.06,223.42,52.4696610703605,2307855285267.75,4.09265347753652
FTSE 100,United Kingdom,2001,3.72,0.02,19.39,1.44,27719.0,0.05,205.7,52.8068501200098,2357645605496.07,2.15742817784832
FTSE 100,United Kingdom,2002,3.6,0.02,29.46,1.5,29982.0,0.05,217.95,51.3079566770037,2399393975746.24,1.77076529877269
FTSE 100,United Kingdom,2003,3.65,0.01,32.13,1.63,34385.0,0.05,240.22,50.1184829420287,2474328328787.79,3.12305331258689
FTSE 100,United Kingdom,2004,3.68,0.01,43.15,1.83,40210.0,0.05,267.2,50.3333786704145,2532350622459.43,2.34497148161661
FTSE 100,United Kingdom,2005,3.75,0.02,59.41,1.82,41933.0,0.05,268.36,52.5387545252611,2599922287719.73,2.66833765676094
FTSE 100,United Kingdom,2006,3.79,0.02,61.96,1.84,44474.0,0.05,277.32,56.7978669737384,2656091147154.86,2.16040532059112
FTSE 100,United Kingdom,2007,3.81,0.02,91.69,2.0,50448.0,0.05,299.29,52.8341458617977,2724178993507.05,2.56346046050109
